Id,SalePrice,Prediction,AbsLogError,GrLivArea,TotalSF,OverallQual,Neighborhood,YearBuilt,GarageArea
787,139000.0,123905.1484375,0.11495671575266364,1652,2338,5,OldTown,1915,416
41,160000.0,142664.15625,0.11467974538936154,1324,2412,6,NAmes,1965,440
1305,130000.0,145782.265625,0.11457889401900445,1708,2684,7,Edwards,2004,380
559,175000.0,196202.328125,0.11435982171498082,1446,2175,7,Gilbert,1996,406
1079,155900.0,139077.453125,0.11418300552939442,848,1696,6,CollgCr,2004,420
632,209500.0,234806.171875,0.11403611947940995,1554,3108,8,NridgHt,2006,627
1457,210000.0,187380.25,0.11396698117403581,2073,3615,6,NWAmes,1978,500
372,134432.0,119976.6484375,0.11376047125227373,1588,1588,4,ClearCr,1959,680
1000,206000.0,183911.125,0.11342296113786077,1208,2395,7,CollgCr,2006,632
377,148000.0,132170.90625,0.11311563511916489,914,1784,5,CollgCr,1996,576
1453,145000.0,129511.9140625,0.11296004029053464,1072,1619,5,Edwards,2005,525
748,265979.0,237579.90625,0.11291289462631049,2640,3880,7,OldTown,1880,864
1422,127500.0,142733.5625,0.11286249137549298,1069,2138,6,NPkVill,1977,440
121,180000.0,160796.140625,0.11281883202640941,988,1926,6,ClearCr,1969,540
1200,148000.0,132245.796875,0.11254918027979421,1382,2433,4,Sawyer,1963,459
1380,167500.0,149676.0,0.11250968238946157,1394,1778,5,Timber,2006,400
894,165000.0,147474.703125,0.11228809685325558,1383,2766,5,Sawyer,1954,354
212,186000.0,166253.109375,0.11223465276724554,1212,2424,6,Edwards,2009,460
450,120000.0,107268.1640625,0.11215884833751844,1183,1832,3,OldTown,1948,308
315,178000.0,159207.375,0.11157528944331752,1641,2369,7,OldTown,1925,546
866,148500.0,132823.046875,0.11156639571077243,1002,2004,5,NAmes,1970,902
259,231500.0,207129.46875,0.11123531463501557,1792,2755,7,CollgCr,2001,564
648,155000.0,138698.375,0.11112274732903948,1094,2188,6,Edwards,1953,495
1288,190000.0,170040.125,0.11098901574549558,1582,3206,5,ClearCr,1964,390
871,109500.0,98009.5390625,0.11085866729245986,894,1788,5,NAmes,1962,308
639,85000.0,94938.1015625,0.11057262873779194,796,1592,5,Edwards,1910,0
926,175000.0,156720.09375,0.11032393557382392,1126,2252,5,NWAmes,1977,540
1004,136905.0,152833.0625,0.11005821506399727,1680,3360,5,NWAmes,1976,528
1180,93000.0,103781.6953125,0.10968899922458242,1124,1124,5,Edwards,1954,0
520,234000.0,261126.484375,0.10968334510021727,2080,3356,7,Crawfor,1926,282
492,133000.0,148404.171875,0.10958953404522376,1578,2384,6,NAmes,1941,240
160,320000.0,286855.71875,0.1093412674948322,2462,3854,7,Gilbert,2005,576
753,217000.0,194538.5,0.10926673455229974,1494,2973,6,CollgCr,1997,576
637,60000.0,53792.5625,0.1092074248753363,800,1064,2,BrkSide,1936,0
77,135750.0,121707.1328125,0.1091965007831881,952,1904,4,NAmes,1956,283
1116,318000.0,285121.09375,0.10913703977456812,1734,3468,8,NridgHt,2007,928
400,241000.0,216095.359375,0.1090766664345697,1550,2642,7,Somerst,2006,438
1427,271000.0,243021.53125,0.10896835067417321,2127,3350,7,NoRidge,1994,525
598,194201.0,174171.171875,0.10885455094238594,1402,2660,7,Blmngtn,2006,648
1351,200000.0,179402.546875,0.10868464634262232,2634,3882,5,NAmes,1969,968
564,185000.0,165948.171875,0.10867968252348348,1674,2837,6,Edwards,1918,396
760,290000.0,323231.96875,0.10848895746515552,2531,3849,8,NoRidge,1995,752
946,124900.0,139194.359375,0.10835698601672128,1869,2837,5,OldTown,1890,456
631,124000.0,111328.734375,0.10779325227560754,1750,2386,5,OldTown,1880,240
975,167500.0,186555.40625,0.10774431834032683,2019,2747,7,BrkSide,1910,532
716,165000.0,148146.953125,0.10774007679769504,1350,2414,6,NWAmes,1974,478
92,98600.0,109796.4765625,0.10755614313975315,1235,2470,5,NAmes,1961,480
1141,139000.0,124868.734375,0.10721005843692666,952,1904,5,NAmes,1951,840
